sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads
AT_Kar_See_1_2014-08-17,AT_See_14_44,AT_Kar_See,46.8136889,13.50794792,Europe,Austria,Seeboden,Karnten,17,17,8,8,2014,229,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Martin_Kapun,SRR5647746,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Kar_See_1_2016-08-01,AT_See_16_1,AT_Kar_See,46.8136889,13.50794792,Europe,Austria,Seeboden,Karnten,1,1,8,8,2016,214,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Martin_Kapun,SRR8494439,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2014-07-20,AT_Mau_14_01,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2014,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J._Betancourt,SRR5647751,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2014-10-19,AT_Mau_14_02,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2014,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J.Betancourt,SRR5647750,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2015-07-20,AT_Mau_15_50,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2015,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439127,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2015-10-19,AT_Mau_15_51,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2015,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439143,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Wie_Gro_1_2012-08-03,AT_gr_12_spring,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,3,3,8,8,2012,216,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,62,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590553,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AT_Wie_Gro_1_2012-10-20,AT_gr_12_fall,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,20,20,10,10,2012,294,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,44,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590552,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_10_2014-02-15,AU_NQ2-20C-100_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_100,South Innisfail,NA,10,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449061,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_11_2014-02-15,AU_NQ1-30C-005_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_005,North Innisfail,NA,11,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449010,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
