sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads,SimCont.Norm,pcrdup,pNpS,private,Cov,Miss,Recommendation,collapsedSamples,N,cluster1.0,cluster2.0_k4,cluster2.0_k5,cluster2.0_k8,fruit_type_curated
AT_Kar_See_1_2014-08-17,AT_See_14_44,AT_Kar_See,46.8136889,13.50794792,Europe,Austria,Seeboden,Karnten,17,17,8,8,2014,229,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Martin_Kapun,SRR5647746,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00945848646594198,0.059444,0.936861670530975,5.44892264049683,50.1734410708456,0.0367377602676602,Abnormal PNPS,NA,NA,NA,NA,NA,NA,NA
AT_Kar_See_1_2016-08-01,AT_See_16_1,AT_Kar_See,46.8136889,13.50794792,Europe,Austria,Seeboden,Karnten,1,1,8,8,2016,214,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Martin_Kapun,SRR8494439,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00886525291828111,0.183387,0.388499094466749,4.69037330691606,69.859690029289,0.0419315872717752,Pass,NA,NA,2,3,2,7,NA
AT_Nie_Mau_1_2014-07-20,AT_Mau_14_01,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2014,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J._Betancourt,SRR5647751,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00921685413977861,0.042811,1.40834377711366,5.7571811061489,46.1773985760183,0.0457874044599357,Abnormal PNPS,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2014-10-19,AT_Mau_14_02,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2014,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Andrea_J.Betancourt,SRR5647750,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00976155189976276,0.055241,1.31442649809872,5.7067348466177,46.9131249342492,0.03584235652793,Abnormal PNPS,NA,NA,NA,NA,NA,NA,NA
AT_Nie_Mau_1_2015-07-20,AT_Mau_15_50,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,20,20,7,7,2015,201,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439127,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00894191130412902,0.154078,0.364048762771447,4.36537565282615,86.3827248528897,0.00906954205315835,Pass,NA,NA,3,2,1,8,NA
AT_Nie_Mau_1_2015-10-19,AT_Mau_15_51,AT_Nie_Mau,48.375,15.56,Europe,Austria,Mauternbach,Niederosterreich,19,19,10,10,2015,292,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Andrea_Betancourt,SRR8439143,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00821212172712418,0.14969,0.382317854460301,3.97863694838447,76.6658401502543,0.0106021626548211,Pass,NA,NA,3,2,1,8,NA
AT_Wie_Gro_1_2012-08-03,AT_gr_12_spring,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,3,3,8,8,2012,216,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,62,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590553,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0131446867808701,0.015001,0.320072576775432,4.10023265196451,31.9912789825157,0.0460135606348485,Pass,NA,NA,2,2,1,8,NA
AT_Wie_Gro_1_2012-10-20,AT_gr_12_fall,AT_Wie_Gro,48.2,16.37,Europe,Austria,Gross-Enzersdorf,Wien,20,20,10,10,2012,294,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,44,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590552,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0133614986804327,0.022531,0.356465701545416,4.43410562246242,71.1360680386268,0.0520071845837198,Pass,NA,NA,2,2,1,8,NA
AU_Que_Inn_-1_2014-02-15,NA,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,NA,NA,NA,North Innisfail,NA,0,586,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449034;SRR8448958;SRR8448909;SRR8449051;SRR8449038;SRR8448994;SRR8448966;SRR8449062,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0502344405458769,0.521636,NA,NA,59.1484711390864,0.0513985732313061,Pass,AU_Que_Inn_13_2014-02-15;AU_Que_Inn_15_2014-02-15;AU_Que_Inn_17_2014-02-15;AU_Que_Inn_19_2014-02-15;AU_Que_Inn_3_2014-02-15;AU_Que_Inn_5_2014-02-15;AU_Que_Inn_7_2014-02-15;AU_Que_Inn_9_2014-02-15,8,4,4,3,5,NA
AU_Que_Inn_0_2014-02-15,NA,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,NA,NA,NA,South Innisfail,NA,0,634,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449061;SRR8449058;SRR8449035;SRR8448959;SRR8448910;SRR8449050;SRR8448953;SRR8449039;SRR8448995;SRR8448967,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0170072443305871,0.518567,NA,NA,68.1754889118168,0.0522829486014268,Pass,AU_Que_Inn_10_2014-02-15;AU_Que_Inn_12_2014-02-15;AU_Que_Inn_14_2014-02-15;AU_Que_Inn_16_2014-02-15;AU_Que_Inn_18_2014-02-15;AU_Que_Inn_20_2014-02-15;AU_Que_Inn_2_2014-02-15;AU_Que_Inn_4_2014-02-15;AU_Que_Inn_6_2014-02-15;AU_Que_Inn_8_2014-02-15,10,4,4,3,5,NA
